,ID,label,ClassID
0,Concrete-01.wav,Concrete,0
1,Concrete-02.wav,Concrete,0
2,Concrete-03.wav,Concrete,0
3,Concrete-04.wav,Concrete,0
4,Concrete-05.wav,Concrete,0
5,Concrete-06.wav,Concrete,0
6,Concrete-07.wav,Concrete,0
7,Concrete-08.wav,Concrete,0
8,Concrete-09.wav,Concrete,0
9,Concrete-10.wav,Concrete,0
10,Concrete-11.wav,Concrete,0
11,Concrete-12.wav,Concrete,0
12,Concrete-13.wav,Concrete,0
13,Concrete-14.wav,Concrete,0
14,Concrete-15.wav,Concrete,0
15,Concrete-16.wav,Concrete,0
16,Concrete-17.wav,Concrete,0
17,Concrete-18.wav,Concrete,0
18,Concrete-19.wav,Concrete,0
19,Concrete-20.wav,Concrete,0
20,Concrete-21.wav,Concrete,0
21,Concrete-22.wav,Concrete,0
22,Concrete-23.wav,Concrete,0
23,Concrete-24.wav,Concrete,0
24,Concrete-25.wav,Concrete,0
25,Concrete-26.wav,Concrete,0
26,Concrete-27.wav,Concrete,0
27,Concrete-28.wav,Concrete,0
28,Concrete-29.wav,Concrete,0
29,Concrete-30.wav,Concrete,0
30,Concrete-31.wav,Concrete,0
31,Concrete-32.wav,Concrete,0
32,Concrete-33.wav,Concrete,0
33,Concrete-34.wav,Concrete,0
34,Concrete-35.wav,Concrete,0
35,Concrete-36.wav,Concrete,0
36,Concrete-37.wav,Concrete,0
37,Concrete-38.wav,Concrete,0
38,Concrete-39.wav,Concrete,0
39,Concrete-40.wav,Concrete,0
40,Concrete-41.wav,Concrete,0
41,Concrete-42.wav,Concrete,0
42,Concrete-43.wav,Concrete,0
43,Concrete-44.wav,Concrete,0
44,Concrete-45.wav,Concrete,0
45,Concrete-46.wav,Concrete,0
46,Concrete-47.wav,Concrete,0
47,Concrete-48.wav,Concrete,0
48,Concrete-49.wav,Concrete,0
49,Concrete-50.wav,Concrete,0
50,Concrete-51.wav,Concrete,0
51,Concrete-52.wav,Concrete,0
52,Concrete-53.wav,Concrete,0
53,Concrete-54.wav,Concrete,0
54,Concrete-55.wav,Concrete,0
55,Concrete-56.wav,Concrete,0
56,Concrete-57.wav,Concrete,0
57,Concrete-58.wav,Concrete,0
58,Concrete-59.wav,Concrete,0
59,Concrete-60.wav,Concrete,0
60,Concrete-61.wav,Concrete,0
61,Concrete-62.wav,Concrete,0
62,Concrete-63.wav,Concrete,0
63,Concrete-64.wav,Concrete,0
64,Concrete-65.wav,Concrete,0
65,Concrete-66.wav,Concrete,0
66,Concrete-67.wav,Concrete,0
67,Concrete-68.wav,Concrete,0
68,Concrete-69.wav,Concrete,0
69,Concrete-70.wav,Concrete,0
70,Concrete-71.wav,Concrete,0
71,Concrete-72.wav,Concrete,0
72,Concrete-73.wav,Concrete,0
73,Concrete-74.wav,Concrete,0
74,Concrete-75.wav,Concrete,0
75,Concrete-76.wav,Concrete,0
76,Concrete-77.wav,Concrete,0
77,Concrete-78.wav,Concrete,0
78,Concrete-79.wav,Concrete,0
79,Concrete-80.wav,Concrete,0
80,Grass-01.wav,Grass,1
81,Grass-02.wav,Grass,1
82,Grass-03.wav,Grass,1
83,Grass-04.wav,Grass,1
84,Grass-05.wav,Grass,1
85,Grass-06.wav,Grass,1
86,Grass-07.wav,Grass,1
87,Grass-08.wav,Grass,1
88,Grass-09.wav,Grass,1
89,Grass-10.wav,Grass,1
90,Grass-11.wav,Grass,1
91,Grass-12.wav,Grass,1
92,Grass-13.wav,Grass,1
93,Grass-14.wav,Grass,1
94,Grass-15.wav,Grass,1
95,Grass-16.wav,Grass,1
96,Grass-17.wav,Grass,1
97,Grass-18.wav,Grass,1
98,Grass-19.wav,Grass,1
99,Grass-20.wav,Grass,1
100,Grass-21.wav,Grass,1
101,Grass-22.wav,Grass,1
102,Grass-23.wav,Grass,1
103,Grass-24.wav,Grass,1
104,Grass-25.wav,Grass,1
105,Grass-26.wav,Grass,1
106,Grass-27.wav,Grass,1
107,Grass-28.wav,Grass,1
108,Grass-29.wav,Grass,1
109,Grass-30.wav,Grass,1
110,Grass-31.wav,Grass,1
111,Grass-32.wav,Grass,1
112,Grass-33.wav,Grass,1
113,Grass-34.wav,Grass,1
114,Grass-35.wav,Grass,1
115,Grass-36.wav,Grass,1
116,Grass-37.wav,Grass,1
117,Grass-38.wav,Grass,1
118,Grass-39.wav,Grass,1
119,Grass-40.wav,Grass,1
120,Grass-41.wav,Grass,1
121,Grass-42.wav,Grass,1
122,Grass-43.wav,Grass,1
123,Grass-44.wav,Grass,1
124,Grass-45.wav,Grass,1
125,Grass-46.wav,Grass,1
126,Grass-47.wav,Grass,1
127,Grass-48.wav,Grass,1
128,Grass-49.wav,Grass,1
129,Grass-50.wav,Grass,1
130,Grass-51.wav,Grass,1
131,Grass-52.wav,Grass,1
132,Grass-53.wav,Grass,1
133,Grass-54.wav,Grass,1
134,Grass-55.wav,Grass,1
135,Grass-56.wav,Grass,1
136,Grass-57.wav,Grass,1
137,Grass-58.wav,Grass,1
138,Grass-59.wav,Grass,1
139,Grass-60.wav,Grass,1
140,Grass-61.wav,Grass,1
141,Grass-62.wav,Grass,1
142,Grass-63.wav,Grass,1
143,Grass-64.wav,Grass,1
144,Grass-65.wav,Grass,1
145,Grass-66.wav,Grass,1
146,Grass-67.wav,Grass,1
147,Grass-68.wav,Grass,1
148,Grass-69.wav,Grass,1
149,Grass-70.wav,Grass,1
150,Grass-71.wav,Grass,1
151,Grass-72.wav,Grass,1
152,Grass-73.wav,Grass,1
153,Grass-74.wav,Grass,1
154,Grass-75.wav,Grass,1
155,Grass-76.wav,Grass,1
156,Grass-77.wav,Grass,1
157,Grass-78.wav,Grass,1
158,Grass-79.wav,Grass,1
159,Grass-80.wav,Grass,1
